Open, High, Low, Close
16011.57,16084.9,16008.4,16054.36
16035.9,16064.79,15997.63,16029.65
15957.15,15972.71,15922.1,15959.98
15825.27,15960.21,15824.11,15954.45
15764.55,15849.4,15760.35,15806.29
15579.9,15689.66,15495.51,15688.77
15681.52,15706.39,15629.33,15696.33
15725.4,15744.79,15671.59,15705.81
15652.91,15781,15650.35,15757.06
15580.58,15618.88,15531.95,15599.23
15507.99,15614.76,15492.29,15542.98
15408.8,15532.94,15406.59,15472.56
15473.56,15567.07,15465.03,15522.92
15510.99,15527.97,15457.43,15515.83
15518.59,15542.17,15416.02,15474.47
15481.22,15598.58,15465.93,15587.36
15350.72,15464.38,15303.39,15462.72
15130.8,15302.43,15109.61,15249.38
15025.35,15174.29,15012.07,15146.87
15115.46,15202.74,15094.44,15199.14
15242.76,15267.92,15184.76,15206.13
15162.75,15253.29,15116.47,15250.86
15040.1,15049.49,14818.71,14973.33
15055.4,15202.2,15011.44,15194.49
15061.86,15175.25,15016.93,15036.55
15041.6,15262.75,14983.8,15156.44
15434.33,15448.52,15246,15260.69
15357,15422.75,15301.35,15365.27
15542.03,15542.41,15232.97,15248.56
15699.01,15704.05,15552.09,15573.88
15562.14,15573.46,15497.17,15531.75
15630.01,15695.65,15593.72,15643.97
15463.24,15508.42,15378.93,15506.74
15265.03,15394.33,15205.7,15348.53
15259.5,15262.76,15019.49,15132.06
15774.57,15791.9,15455.54,15490.17
15666.63,15745.19,15638.23,15651.75
15731.48,15740.01,15613.72,15616
15697.72,15763.58,15663.42,15722.99
15681.17,15787.66,15674.16,15701.42
15648.89,15702.6,15574.94,15609.81
15499.45,15693.22,15453.96,15623.15
15714.61,15755.3,15590.41,15610.28
15896.56,15927.77,15826.86,15843.09
15818.44,15959.74,15814.63,15932.12
15841.45,15868.69,15690.02,15781.2
15813.57,15874.67,15810.77,15840.59
15958.41,15981.7,15773.44,15824.29
